"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.51","53.07","BARKERVILLE","1090660","2012-01-01","2012","01","01","†","3.5","","-19.0","","-7.8","","25.8","","0.0","","0.0","","1.0","","1.0","","94","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-02","2012","01","02","†","4.0","","-5.5","","-0.8","","18.8","","0.0","","0.0","","1.0","","1.0","","94","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-03","2012","01","03","†","5.0","","-1.5","","1.8","","16.2","","0.0","","1.0","","4.0","","5.0","","94","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-04","2012","01","04","†","5.0","","1.0","","3.0","","15.0","","0.0","","3.0","","12.0","","15.0","","88","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-05","2012","01","05","†","-3.0","","-8.0","","-5.5","","23.5","","0.0","","1.0","","1.0","","2.0","","92","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-06","2012","01","06","†","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","89","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-07","2012","01","07","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.2","","7.0","","7.2","","88","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-08","2012","01","08","†","3.5","","-3.0","","0.3","","17.7","","0.0","","5.4","","3.0","","8.4","","90","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-09","2012","01","09","†","4.0","","-1.0","","1.5","","16.5","","0.0","","1.5","","2.0","","3.5","","91","","","","",""
"-121.51","53.07","BARKERVILLE","1090660","2012-01-10","2012","01","10","†","-3.5","","-15.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","91","","","","",""
